id,товар,назва товару,марка,дата,час,шт,грам,літрів,вартість,сума,заповнив,is_interesting,why
79258288,ікра,ікра червона,Камчадал,24.02.2018,,1,,,205.40,,Женя,,
79258288,алкоголь,коньяк,Hennessy,27.02.2018,,1,,,794.30,,Женя,,
79263836,NA,,,,,,,,,,Женя,,
79273307,дитячі товари,підгузки,Pampers,14.03.2018,,1,,,224.36,,Женя,,
79273307,солодощі,батончик,Snickers,14.03.2018,,1,112.5,,22.03,,Женя,,
79273307,солодощі,яйце kinder,,14.03.2018,,1,,,25.00,,Женя,,
79278368,ікра,ікра червона,Norven,02.12.2018,,1,120,,231.21,,Женя,,
79278368,ікра,ікра червона,Парамушир,05.12.2018,,1,120,,243.90,,Женя,,
79289619,ікра,ікра червона,Рибкоппродукт,23.12.2018,,1,120,,487.80,,Женя,,
79296064,алкоголь,віскі,Hankey Bannister,13.09.2018,,1,,0.7,311.58,,Женя,,
79304655,алкоголь,коньяк,Astafian,04.05.2018,,1,,0.5,251.60,,Женя,,
79304655,алкоголь,бренді,Шабо,28.05.2018,,1,,0.5,247.10,,Женя,,
79321103,NA,,,,,,,,,,Женя,,
79326102,алкоголь,джин,Beefeater,25.10.2018,,1,,0.5,292.90,,Женя,,
79326102,алкоголь,віскі,Jack Daniels,26.10.2018,,1,,0.5,332.80,,Женя,,
79326102,алкоголь,лікер,Baileys,27.10.2018,,1,,,417.90,,Женя,,
79326102,алкоголь,віскі,Jack Daniels,30.10.2018,,1,,0.5,369.80,,Женя,,
79327778,NA,,,,,,,,,,Женя,,
79327794,алкоголь,коньяк,Арарат,02.03.2018,,1,,0.5,328.09,,Женя,,
79327794,кава,кава розчинна,Jacobs Monarch,02.03.2018,,1,480,,66.24,,Женя,,
79327794,кава,кава розчинна,Coffee Gold,06.03.2018,,1,95,,71.60,,Женя,,
79327794,алкоголь,бренді,Шабо,06.03.2018,,1,,0.5,341.98,,Женя,,
79327794,алкоголь,коньяк,Hennessy,06.03.2018,,1,,0.5,687.93,,Женя,,
79327794,косметика,дезодорант,Nivea,06.03.2018,,1,,,41.66,,Женя,,
79327990,алкоголь,лікер,Becherovka,18.09.2018,,1,,0.5,200.95,,Женя,,
79327990,алкоголь,коньяк,Astafian,19.09.2018,,1,,0.5,196.32,,Женя,,
79327990,алкоголь,лікер,Jagermeister,19.09.2018,,1,,0.5,234.90,,Женя,,
79330210,NA,,,,,,,,,,Женя,,
79340909,алкоголь,коньяк,Migdal,03.03.2018,,1,,0.5,141.90,,Женя,,
79340909,ковбаса та ковбасні вироби,ковбаса,,03.03.2018,,1,,,135.47,,Женя,,
79340909,яйця,яйця курячі,,03.03.2018,,1,,,32.70,,Женя,,
79340909,сир,сир твердий,,03.03.2018,,1,160,,94.50,,Женя,,
79340909,сир,сир плавлений,Ферма,03.03.2018,,1,,,37.80,,Женя,,
79341517,алкоголь,коньяк,Astafian,20.11.2018,,1,,0.5,"378,50",,Женя,,
79341517,алкоголь,коньяк,Таврія Каховка,20.11.2018,,1,,0.5,315.70,,Женя,,
86761719,NA,,,,,,,,,,Женя,,
86762468,ікра,ікра червона,Рибкоппродукт,06.04.2019,,6,120,,277.90,1667.40,Женя,,
86762468,ікра,ікра червона,,01.05.2019,,2,120,,158.80,317.60,Женя,,
86784510,косметика,гель для гоління,Gillette,07.11.2019,,1,,,35.18,,Женя,,
86784510,косметика,дезодорант,FA,07.11.2019,,1,,,21.20,,Женя,,
86784510,косметика,дезодорант,FA,07.11.2019,,1,,,24.30,,Женя,,
