"id","yend","color","start","end","curvature","dif","ystart"
"92716110",1,"однакову",100,100,-44.9890074534828,0,0
"92716110",2,"однакову",100,100,-44.9890074534828,0,1
"92761734",1,"однакову",100,100,-44.9890074534828,0,0
"92761734",2,"більшу",100,107.24971237476,-44.1650133161743,23.05,1
"92761734",3,"меншу",107.24971237476,102.099544034572,-50.3583748905214,-150.2,2
"92761734",4,"більшу",102.099544034572,107.424854548881,-42.3883318140383,72.75,3
"92761734",5,"більшу",107.424854548881,112.77172411792,-42.6360662770122,65.8199999999999,4
"92761734",6,"більшу",112.77172411792,120.078424001113,-43.5311991706436,40.78,5
"92761734",7,"меншу",120.078424001113,111.572065113578,-46.635208322162,-46.05,6
"92761734",8,"більшу",111.572065113578,121.503392463783,-40.282767619354,131.65,7
"92761734",9,"меншу",121.503392463783,113.113614050671,-48.8319302196722,-107.5,8
"92787630",1,"однакову",100,100,-44.9890074534828,0,0
"92787630",2,"меншу",100,90.7711454737,-50.284376284698,-148.13,1
"92803176",1,"однакову",100,100,-44.9890074534828,0,0
"92803176",2,"більшу",100,106.398015100276,42.85984950042,2457.44,1
"92803176",3,"меншу",106.398015100276,98.6787576903589,-118.392049618389,-2053.34,2
"92828330",1,"однакову",100,100,-44.9890074534828,0,0
"92828330",2,"більшу",100,105.069722501794,-27.5921854612401,486.65,1
"92845458",1,"однакову",100,100,-44.9890074534828,0,0
"92845458",2,"більшу",100,107.262580915121,-44.8174164834576,4.80000000000001,1
"92847721",1,"однакову",100,100,-44.9890074534828,0,0
"92847721",2,"більшу",100,108.979691524291,-36.6936564963269,232.05,1
"92850751",1,"однакову",100,100,-44.9890074534828,0,0
"92850751",2,"однакову",100,100,-44.9268057268486,1.74000000000001,1
"92859504",1,"однакову",100,100,-44.9890074534828,0,0
"92859504",2,"більшу",100,106.279615724925,-35.1404007364113,275.5,1
"92872702",1,"однакову",100,100,-44.9890074534828,0,0
"92872702",2,"більшу",100,107.386101243319,-42.4155003842923,71.99,1
